url,signals,explanation_en,simplified_signals,risk_level,top_indicators
https://www.iseepassword.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as password commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as password commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as password commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.paypal-prepaid.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as paypal commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as paypal commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as paypal commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.securepay.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as secure commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as secure commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as secure commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.designindaba.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as signin commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as signin commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as signin commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.thetokens.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as token commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as token commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as token commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.parisupdate.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as update commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as update commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as update commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.verifyhalal.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as verify commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as verify commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as verify commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.samouraiwallet.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as wallet commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.t-h-i-n-g-s.com,shows repeated character sequences indicative of lexical obfuscation | contains excessive special characters frequently observed in phishing URLs,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains excessive special characters frequently observed in phishing URLs. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | many special characters,MEDIUM,many special characters | repeated character patterns
https://www.barbarakatz.com,shows repeated character sequences indicative of lexical obfuscation | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and shows repeated lexical patterns resembling typosquatting or algorithmic domain generation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,LOW,repeated character patterns
https://www.homebybianca.dk,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and uses a low-trust top-level domain frequently abused in phishing campaigns. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | uncommon top-level domain,LOW,uncommon top-level domain | repeated character patterns
https://www.accountable.eu,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as account commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as account commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as account commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.auth.gr,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as auth commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.barharbor.bank,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as bank commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.4login.jp,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as login commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as login commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.datarecovery.net,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as recovery commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as recovery commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as recovery commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.securepay.my,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as secure commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as secure commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as secure commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.financeupdates.net,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as update commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as update commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as update commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.e-verify.gov,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as verify commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as verify commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as verify commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.slicewallet.org,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains sensitive keywords such as wallet commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,LOW,uncommon top-level domain | repeated character patterns
https://www.s-i-m-b-a.org,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | contains excessive special characters frequently observed in phishing URLs,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and contains excessive special characters frequently observed in phishing URLs. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | uncommon top-level domain | many special characters,MEDIUM,many special characters | uncommon top-level domain | repeated character patterns
https://www.gnamgnam.it,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows repeated lexical patterns resembling typosquatting or algorithmic domain generation. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,LOW,uncommon top-level domain | repeated character patterns
https://www.westdean.org.uk,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.runmyaccounts.ch,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as account commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as account commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as account commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.famousauthors.org,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as auth commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.rabobank.com.au,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.vaconfirma.com.ar,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.takemelogin.la,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as login commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as login commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.passwordstore.org,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as password commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as password commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as password commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.camsecure.co.uk,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as secure commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as secure commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as secure commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.token.co.jp,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as token commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as token commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as token commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.update.ph,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as update commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as update commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as update commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.okwallet.com.bd,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as wallet commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.cencenelec.eu,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and shows repeated lexical patterns resembling typosquatting or algorithmic domain generation. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | uncommon top-level domain | url and page content mismatch | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,MEDIUM,url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.tomercohen.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | url and page content mismatch,MEDIUM,url and page content mismatch | repeated character patterns
https://www.accountancyage.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as account commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as account commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | url and page content mismatch | contains sensitive keywords such as account commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | repeated character patterns
https://www.slscottauthor.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | url and page content mismatch | contains sensitive keywords such as auth commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | repeated character patterns
https://www.tescobank.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | repeated character patterns
https://www.recoverycomedy.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as recovery commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as recovery commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | url and page content mismatch | contains sensitive keywords such as recovery commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | repeated character patterns
https://www.tokencoins.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as token commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as token commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | url and page content mismatch | contains sensitive keywords such as token commonly targeted in credential theft attacks,MEDIUM,url and page content mismatch | repeated character patterns
https://www.talktalkgroup.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and shows repeated lexical patterns resembling typosquatting or algorithmic domain generation. These characteristics are frequently associated with deceptive or malicious web infrastructure.",repeated character patterns | url and page content mismatch | shows repeated lexical patterns resembling typosquatting or algorithmic domain generation,MEDIUM,url and page content mismatch | repeated character patterns
https://www.xxxwww.mobi,uses a low-trust top-level domain frequently abused in phishing campaigns,This URL is classified as malicious because it uses a low-trust top-level domain frequently abused in phishing campaigns. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,uncommon top-level domain,LOW,uncommon top-level domain
https://www.bse.telangana.gov.in,uses an unusually long and potentially deceptive domain name | contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",unusually long domain name | multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | unusually long domain name
